name,birthday,nationality
Meryl Streep,1949-06-22,United States
Tom Hanks,1956-07-09,United States
Leonardo DiCaprio,1974-11-11,United States
Robert De Niro,1943-08-17,United States; Italy
Al Pacino,1940-04-25,United States
Denzel Washington,1954-12-28,United States
Morgan Freeman,1937-06-01,United States
Cate Blanchett,1969-05-14,Australia
Natalie Portman,1981-06-09,Israel; United States
Scarlett Johansson,1984-11-22,United States
Brad Pitt,1963-12-18,United States
Angelina Jolie,1975-06-04,United States
Joaquin Phoenix,1974-10-28,United States
Emma Stone,1988-11-06,United States
Daniel Day-Lewis,1957-04-29,United Kingdom; Ireland
Judi Dench,1934-12-09,United Kingdom
Anthony Hopkins,1937-12-31,United Kingdom
Christian Bale,1974-01-30,United Kingdom; United States
Kate Winslet,1975-10-05,United Kingdom
Hugh Jackman,1968-10-12,Australia
Charlize Theron,1975-08-07,South Africa; United States
Will Smith,1968-09-25,United States
Jennifer Lawrence,1990-08-15,United States
Samuel L. Jackson,1948-12-21,United States
Julia Roberts,1967-10-28,United States
Ian McKellen,1939-05-25,United Kingdom
Keanu Reeves,1964-09-02,Canada; United States
Michael Caine,1933-03-14,United Kingdom
Nicole Kidman,1967-06-20,United States; Australia
Matthew McConaughey,1969-11-04,United States
Sandra Bullock,1964-07-26,United States; Germany
Ryan Gosling,1980-11-12,Canada
Penélope Cruz,1974-04-28,Spain
Benicio Del Toro,1967-02-19,United States; Puerto Rico
Tom Cruise,1962-07-03,United States
Kate Hudson,1979-04-19,United States
Christoph Waltz,1956-10-04,Austria; Germany
Saoirse Ronan,1994-04-12,Ireland; United States
Adam Driver,1983-11-19,United States
Mahershala Ali,1974-02-16,United States
Viola Davis,1965-08-11,United States
Edward Norton,1969-08-18,United States
Sigourney Weaver,1949-10-08,United States
Forest Whitaker,1961-07-15,United States
Timothée Chalamet,1995-12-27,United States; France
Rooney Mara,1985-04-17,United States
Viggo Mortensen,1958-10-20,United States; Denmark
Mark Ruffalo,1967-11-22,United States
Amy Adams,1974-08-20,United States
